Search_Term,Word,n=1,n=3,n=5,n=10,n=15,n=20,n=25,n-50,wordOccurrence
design,considerations6,2,0,0,0,0,0,0,0,2
design,ideation,2,0,0,0,0,0,0,0,7
design,(iccad),2,0,0,0,0,0,0,0,2
design,community,2,0,0,0,0,0,0,0,79
design,variations,2,0,0,0,0,0,0,0,64
design,consideration,2,0,0,0,0,0,0,0,35
design,workflows,2,0,0,0,0,0,0,0,89
design,tends,2,0,0,0,0,0,0,0,18
design,sketches,2,0,0,0,0,0,0,0,81
design,programs,2,0,0,0,0,0,0,0,130
design,motivations,2,0,0,0,0,0,0,0,16
design,cycle,2,0,0,0,0,0,0,0,10
design,design,1,14,20,22,18,15,10,7,1964
design,feedback,1,10,2,1,4,6,7,2,899
design,experiences,1,7,4,3,0,3,0,0,273
design,interactions,1,7,3,0,0,2,4,2,613
design,section,1,6,4,0,1,1,1,1,453
design,are,1,5,10,5,8,5,7,8,4249
design,layout,1,5,1,0,0,1,1,1,312
design,interfaces,1,4,5,0,1,1,1,3,578
design,designers,1,4,1,3,3,3,1,1,300
design,modeling,1,4,1,2,0,2,2,1,348
design,variable,1,4,0,0,0,0,0,0,123
design,interaction,1,3,8,6,3,3,6,7,1424
design,systems,1,3,7,4,4,4,2,7,1541
design,creating,1,3,6,1,1,2,2,1,319
design,where,1,3,3,3,0,0,1,0,893
design,results,1,3,3,1,1,5,2,3,1051
design,they,1,3,2,7,7,2,4,4,2203
design,two,1,3,1,3,5,2,4,3,1720
design,ui,1,3,1,0,0,4,2,2,721
design,studies,1,3,1,0,0,2,1,1,333
design,freehand,1,3,0,0,0,0,0,0,73
design,how,1,2,3,2,6,0,4,3,1309
design,3,1,2,3,0,0,0,1,1,997
design,visual,1,2,2,5,4,3,1,1,795
design,models,1,2,2,1,0,0,1,3,832
design,development,1,2,1,2,0,1,2,2,208
design,exploration,1,2,1,0,1,0,1,1,174
design,better,1,2,1,0,1,0,0,2,388
design,because,1,2,1,0,1,0,0,0,675
design,four,1,2,1,0,0,2,1,1,399
design,facilitate,1,2,1,0,0,1,0,0,129
design,inspired,1,2,1,0,0,0,0,0,105
design,•,1,2,0,1,2,0,2,1,142
design,(a),1,2,0,0,0,0,1,0,456
design,needs,1,2,0,0,0,0,0,1,188
design,access,1,2,0,0,0,0,0,0,262
design,measurement,1,2,0,0,0,0,0,0,219
design,objects,1,1,4,3,2,1,2,5,1022
design,gestures,1,1,3,0,2,0,0,0,560
design,questions,1,1,3,0,1,0,0,1,212
design,like,1,1,3,0,1,0,0,1,731
design,power,1,1,2,1,1,0,1,1,377
design,gaze,1,1,2,1,0,0,1,0,226
design,voice,1,1,2,0,1,2,0,1,284
design,image,1,1,2,0,0,2,1,1,795
design,software,1,1,1,4,4,4,5,2,1222
design,required,1,1,1,1,3,1,0,0,225
design,simulation,1,1,1,1,2,1,0,1,185
design,uses,1,1,1,1,0,0,3,0,397
design,–,1,1,1,1,0,0,0,1,252
design,still,1,1,1,0,1,2,1,0,304
design,during,1,1,1,0,1,0,4,1,629
design,stage,1,1,1,0,1,0,0,0,89
design,sketch,1,1,1,0,1,0,0,0,113
design,novel,1,1,1,0,0,0,0,1,184
design,through-fabric,1,1,1,0,0,0,0,0,47
design,might,1,1,0,4,1,0,0,0,324
design,(eg.,1,1,0,2,0,4,2,1,1017
design,hardware,1,1,0,2,0,2,0,1,333
design,[5],1,1,0,1,1,0,0,0,81
design,(b),1,1,0,1,0,2,1,1,433
design,personal,1,1,0,1,0,1,0,2,286
design,game,1,1,0,0,1,1,1,1,370
design,now,1,1,0,0,1,1,0,0,162
design,aims,1,1,0,0,1,0,0,1,46
design,center,1,1,0,0,0,2,1,0,161
design,possible,1,1,0,0,0,1,0,2,365
design,individual,1,1,0,0,0,0,1,1,228
design,siggraph,1,1,0,0,0,0,1,0,65
design,onto,1,1,0,0,0,0,1,0,105
design,human-scale,1,1,0,0,0,0,1,0,12
design,structural,1,1,0,0,0,0,0,0,81
design,rationale,1,1,0,0,0,0,0,0,11
design,practices,1,1,0,0,0,0,0,0,58
design,behind,1,1,0,0,0,0,0,0,90
design,touchscreen,1,1,0,0,0,0,0,0,125
design,cycles,1,1,0,0,0,0,0,0,10
design,trusscillator,1,1,0,0,0,0,0,0,72
design,large-scale,1,1,0,0,0,0,0,0,53
design,application,1,0,4,1,1,2,0,3,539
design,between,1,0,3,4,2,3,2,2,1612
design,2020,1,0,3,4,1,0,2,1,658
design,4,1,0,3,2,1,0,6,0,788
design,there,1,0,2,1,1,1,3,3,706
design,creation,1,0,2,1,1,0,1,2,129
design,appropriate,1,0,2,0,1,1,0,2,154
design,abstraction,1,0,2,0,1,1,0,0,74
design,accessible,1,0,2,0,1,0,0,0,117
design,perform,1,0,2,0,0,0,0,0,256
design,types,1,0,1,2,2,0,1,0,567
design,problems,1,0,1,2,1,0,0,0,88
design,supports,1,0,1,2,0,0,0,1,215
design,would,1,0,1,1,1,2,0,3,941
design,concepts,1,0,1,1,1,0,0,0,237
design,here,1,0,1,1,0,1,0,0,219
design,ie.,1,0,1,1,0,0,0,2,258
design,therefore,1,0,1,1,0,0,0,1,262
design,followed,1,0,1,1,0,0,0,0,126
design,robot,1,0,1,0,1,0,1,0,308
design,without,1,0,1,0,1,0,0,2,671
design,tablet,1,0,1,0,1,0,0,0,125
design,element,1,0,1,0,1,0,0,0,240
design,force,1,0,1,0,0,1,1,2,359
design,[6],1,0,1,0,0,1,0,0,67
design,45,1,0,1,0,0,0,1,0,60
design,several,1,0,1,0,0,0,1,0,336
design,[50],1,0,1,0,0,0,0,1,57
design,gesturing,1,0,1,0,0,0,0,0,25
design,requirements4.1.3,1,0,1,0,0,0,0,0,1
design,workshops,1,0,1,0,0,0,0,0,31
design,[48],1,0,1,0,0,0,0,0,51
design,parameters3.1,1,0,1,0,0,0,0,0,1
design,quickly,1,0,1,0,0,0,0,0,172
design,d,1,0,0,2,1,0,0,0,366
design,over,1,0,0,2,0,1,0,1,615
design,early,1,0,0,2,0,0,1,0,91
design,file,1,0,0,2,0,0,0,0,213
design,springs,1,0,0,2,0,0,0,0,48
design,actions,1,0,0,1,1,2,0,1,505
design,2021,1,0,0,1,1,1,5,7,717
design,concept,1,0,0,1,1,0,3,3,259
design,problem,1,0,0,1,1,0,2,0,203
design,changes,1,0,0,1,1,0,1,1,392
design,within,1,0,0,1,0,1,2,2,535
design,workflow,1,0,0,1,0,1,2,0,244
design,review,1,0,0,1,0,1,0,1,171
design,effect,1,0,0,1,0,1,0,0,398
design,issues,1,0,0,1,0,1,0,0,114
design,skill,1,0,0,1,0,1,0,0,21
design,limited,1,0,0,1,0,1,0,0,245
design,hdl,1,0,0,1,0,1,0,0,64
design,directions,1,0,0,1,0,0,2,1,157
design,next,1,0,0,1,0,0,1,0,355
design,did,1,0,0,1,0,0,1,0,404
design,2016,1,0,0,1,0,0,0,2,467
design,value,1,0,0,1,0,0,0,1,313
design,spaceto,1,0,0,1,0,0,0,0,1
design,62,1,0,0,1,0,0,0,0,21
design,contexts,1,0,0,1,0,0,0,0,84
design,principles 32,1,0,0,1,0,0,0,0,1
design,optimization,1,0,0,1,0,0,0,0,104
design,parameters	minimum,1,0,0,1,0,0,0,0,1
design,adequately,1,0,0,1,0,0,0,0,4
design,considerations9,1,0,0,1,0,0,0,0,1
design,approach 42,1,0,0,1,0,0,0,0,2
design,processour,1,0,0,1,0,0,0,0,1
design,five,1,0,0,0,2,3,0,1,228
design,recommendation,1,0,0,0,2,1,0,0,105
design,approaches,1,0,0,0,1,1,1,1,256
design,2013,1,0,0,0,1,1,0,0,286
design,due,1,0,0,0,1,1,0,0,359
design,search,1,0,0,0,1,0,1,1,509
design,toolkits,1,0,0,0,1,0,1,0,51
design,[10],1,0,0,0,1,0,0,1,64
design,furthermore,1,0,0,0,1,0,0,1,153
design,approachfigure,1,0,0,0,1,0,0,0,3
design,you,1,0,0,0,1,0,0,0,234
design,[26,1,0,0,0,1,0,0,0,27
design,parameter,1,0,0,0,1,0,0,0,145
design,remains,1,0,0,0,1,0,0,0,85
design,sensicut,1,0,0,0,1,0,0,0,46
design,comprises,1,0,0,0,1,0,0,0,15
design,hibschman,1,0,0,0,1,0,0,0,9
design,laser,1,0,0,0,0,2,0,0,276
design,since,1,0,0,0,0,2,0,0,437
design,introduced,1,0,0,0,0,2,0,0,150
design,gazechat,1,0,0,0,0,1,2,1,88
design,comparing,1,0,0,0,0,1,1,0,107
design,phase,1,0,0,0,0,1,0,0,131
design,principlesproviding,1,0,0,0,0,1,0,0,1
design,[24,1,0,0,0,0,1,0,0,27
design,central,1,0,0,0,0,1,0,0,71
design,affordances,1,0,0,0,0,1,0,0,97
design,brushes,1,0,0,0,0,1,0,0,44
design,effective,1,0,0,0,0,1,0,0,141
design,similar,1,0,0,0,0,0,1,2,588
design,phases,1,0,0,0,0,0,1,1,43
design,network,1,0,0,0,0,0,1,1,193
design,allowed,1,0,0,0,0,0,1,0,133
design,[9,1,0,0,0,0,0,1,0,46
design,springerkinya,1,0,0,0,0,0,1,0,1
design,[12],1,0,0,0,0,0,1,0,73
design,matches,1,0,0,0,0,0,1,0,50
design,typeboard,1,0,0,0,0,0,1,0,113
design,need,1,0,0,0,0,0,0,2,442
design,accordingly,1,0,0,0,0,0,0,1,31
design,https//doiorg/10.7551/mitpress/11481.001.0001hiroshi,1,0,0,0,0,0,0,1,1
design,medium,1,0,0,0,0,0,0,1,82
design,students,1,0,0,0,0,0,0,1,141
design,space4,1,0,0,0,0,0,0,0,1
design,studios,1,0,0,0,0,0,0,0,4
design,tension,1,0,0,0,0,0,0,0,11
design,values,1,0,0,0,0,0,0,0,346
design,(cad),1,0,0,0,0,0,0,0,1
design,springer,1,0,0,0,0,0,0,0,133
design,encourages,1,0,0,0,0,0,0,0,13
design,fmcad,1,0,0,0,0,0,0,0,1
design,assistant,1,0,0,0,0,0,0,0,53
design,guidelinesbased,1,0,0,0,0,0,0,0,1
design,space 34,1,0,0,0,0,0,0,0,1
design,spacesimultaneous,1,0,0,0,0,0,0,0,1
design,(yellow,1,0,0,0,0,0,0,0,10
design,beyond,1,0,0,0,0,0,0,0,147
design,considerations4.1,1,0,0,0,0,0,0,0,1
design,tables,1,0,0,0,0,0,0,0,42
design,[61],1,0,0,0,0,0,0,0,17
design,rule,1,0,0,0,0,0,0,0,71
design,(tcata,1,0,0,0,0,0,0,0,1
design,add-in5,1,0,0,0,0,0,0,0,1
design,assemblyacm,1,0,0,0,0,0,0,0,2
design,layouts,1,0,0,0,0,0,0,0,120
design,guidelineswe,1,0,0,0,0,0,0,0,1
design,add-indaedalus,1,0,0,0,0,0,0,0,1
design,purpose,1,0,0,0,0,0,0,0,68
design,showcased,1,0,0,0,0,0,0,0,4
design,https//haptxcom/.,1,0,0,0,0,0,0,0,1
design,process—photographers,1,0,0,0,0,0,0,0,1
design,(or,1,0,0,0,0,0,0,0,97
design,involves,1,0,0,0,0,0,0,0,49
design,additionally,1,0,0,0,0,0,0,0,141
design,worked,1,0,0,0,0,0,0,0,48
design,mastering,1,0,0,0,0,0,0,0,2
design,process 21,1,0,0,0,0,0,0,0,1
design,processthe,1,0,0,0,0,0,0,0,2
design,erica,1,0,0,0,0,0,0,0,6
design,policy,1,0,0,0,0,0,0,0,32
design,goes,1,0,0,0,0,0,0,0,24
design,opportunities6.4,1,0,0,0,0,0,0,0,1
design,considerationsstudy,1,0,0,0,0,0,0,0,1
design,guidelines3,1,0,0,0,0,0,0,0,1
design,guidelines 92,1,0,0,0,0,0,0,0,1
design,guidelines2.1,1,0,0,0,0,0,0,0,1
design,processfigure,1,0,0,0,0,0,0,0,4
design,process2.3,1,0,0,0,0,0,0,0,1
design,guidelinesresearchers,1,0,0,0,0,0,0,0,1
design,guidelinesin,1,0,0,0,0,0,0,0,2
design,space9.2,1,0,0,0,0,0,0,0,1
design,deploy,1,0,0,0,0,0,0,0,15
design,(cscwd),1,0,0,0,0,0,0,0,1
design,[71,1,0,0,0,0,0,0,0,3
design,[31],1,0,0,0,0,0,0,0,81
design,consisting,1,0,0,0,0,0,0,0,46
design,implications 53,1,0,0,0,0,0,0,0,1
design,considerations3.1,1,0,0,0,0,0,0,0,1
design,exaggerated,1,0,0,0,0,0,0,0,11
design,implications52.1,1,0,0,0,0,0,0,0,1
design,vibratory,1,0,0,0,0,0,0,0,24
design,toolsthere,1,0,0,0,0,0,0,0,1
design,764–770arthur,1,0,0,0,0,0,0,0,1
design,does,1,0,0,0,0,0,0,0,408
design,evidence,1,0,0,0,0,0,0,0,35
design,toolsacm,1,0,0,0,0,0,0,0,3
design,tool4,1,0,0,0,0,0,0,0,1
design,[47],1,0,0,0,0,0,0,0,45
design,principles 41,1,0,0,0,0,0,0,0,1
design,[39]iml,1,0,0,0,0,0,0,0,1
design,principleswe,1,0,0,0,0,0,0,0,1
design,marcelle,1,0,0,0,0,0,0,0,56
design,[57],1,0,0,0,0,0,0,0,23
design,tools3,1,0,0,0,0,0,0,0,2
design,tools2.1,1,0,0,0,0,0,0,0,1
design,toolsmodeling,1,0,0,0,0,0,0,0,1
design,modularhmd's,1,0,0,0,0,0,0,0,10
design,process3.3.3,1,0,0,0,0,0,0,0,1
design,workspace,1,0,0,0,0,0,0,0,65
design,parameters),1,0,0,0,0,0,0,0,5
design,parameters—such,1,0,0,0,0,0,0,0,1
design,motionring,1,0,0,0,0,0,0,0,40
design,(16-lra),1,0,0,0,0,0,0,0,1
design,rants,1,0,0,0,0,0,0,0,1
design,space 31,1,0,0,0,0,0,0,0,1
design,spaceomnifiber,1,0,0,0,0,0,0,0,1
design,primitives,1,0,0,0,0,0,0,0,31
design,applicationsby,1,0,0,0,0,0,0,0,1
design,consists,1,0,0,0,0,0,0,0,136
design,theory,1,0,0,0,0,0,0,0,52
design,56(2014),1,0,0,0,0,0,0,0,1
design,(1980-2015),1,0,0,0,0,0,0,0,1
