Search_Term,Word,n=1,n=3,n=5,n=10,n=15,n=20,n=25,n-50,wordOccurrence,,,,,,,,
design,character,17,2,1,1,0,0,0,1,84,,,,,,,,
design,method,16,8,12,8,9,4,4,6,515,,,,,,,,
design,skills,16,5,5,7,5,11,12,7,400,,,,,,,,
design,codesign,16,4,0,2,3,1,2,0,73,,,,,,,,
design,outcome,16,2,1,2,2,0,3,4,189,,,,,,,,
design,eindhoven,16,2,0,0,1,5,2,2,29,,,,,,,,
design,features,16,1,4,0,3,1,3,3,278,,,,,,,,
design,requirements,16,1,1,2,1,2,1,0,123,,,,,,,,
design,representation,16,0,1,2,5,3,1,2,129,,,,,,,,
design,studios,16,0,0,0,2,1,2,0,36,,,,,,,,
design,have,15,39,32,23,25,21,36,19,1989,,,,,,,,
design,,15,27,20,21,27,28,24,26,2043,,,,,,,,
design,(pp,15,8,9,7,4,3,8,5,253,,,,,,,,
design,challenges,15,7,14,11,5,11,12,7,538,,,,,,,,
design,expertise,15,1,4,4,2,5,5,5,214,,,,,,,,
design,moves,15,1,2,2,0,0,0,2,46,,,,,,,,
design,scholars,15,0,3,1,3,2,3,0,75,,,,,,,,
design,on,14,85,90,96,85,67,69,69,5668,,,,,,,,
design,products,14,17,10,5,12,17,7,10,577,,,,,,,,
design,will,14,11,13,9,7,11,9,13,872,,,,,,,,
design,she,14,10,9,11,8,4,8,9,329,,,,,,,,
design,needs,14,6,6,7,4,12,12,9,573,,,,,,,,
design,anthropology,14,2,2,1,0,2,1,2,46,,,,,,,,
design,representations,14,0,5,1,0,1,3,1,98,,,,,,,,
design,directions,14,0,1,1,2,2,2,0,80,,,,,,,,
design,economics,14,0,0,1,1,0,2,2,56,,,,,,,,
design,technology,13,26,34,28,24,30,29,16,1166,,,,,,,,
design,-,13,9,10,10,43,17,13,15,813,,,,,,,,
design,participants,13,5,18,10,13,9,10,9,1625,,,,,,,,
design,�,13,4,9,9,11,6,10,16,807,,,,,,,,
design,artefacts,13,4,5,2,1,2,1,3,199,,,,,,,,
design,ethnography,13,3,0,0,0,2,1,1,30,,,,,,,,
design,curriculum,13,2,2,3,3,3,2,3,157,,,,,,,,
design,proposal,13,2,2,0,3,1,1,0,77,,,,,,,,
design,practitioner,13,1,1,2,5,1,0,2,76,,,,,,,,
design,discourse,13,0,5,1,2,2,0,0,103,,,,,,,,
design,where,12,10,11,10,10,4,7,10,766,,,,,,,,
design,contexts,12,7,4,4,1,4,4,4,219,,,,,,,,
design,within,12,6,13,7,13,15,15,13,929,,,,,,,,
design,methodology,12,5,7,8,2,4,5,1,159,,,,,,,,
design,mit,12,5,5,4,4,7,3,4,100,,,,,,,,
design,identity,12,5,4,1,4,6,5,8,337,,,,,,,,
design,culture,12,3,5,7,8,5,6,1,320,,,,,,,,
design,scale,12,3,0,2,2,4,2,1,185,,,,,,,,
design,centre,12,1,4,4,1,1,7,1,134,,,,,,,,
design,languages,12,1,0,1,0,1,2,0,53,,,,,,,,
design,new,11,26,31,34,43,38,25,47,1880,,,,,,,,
design,interaction,11,7,15,15,9,7,12,12,678,,,,,,,,
design,interventions,11,5,3,4,2,1,4,3,195,,,,,,,,
design,tool,11,4,7,3,4,1,5,5,264,,,,,,,,
design,solution,11,3,3,2,6,1,2,4,219,,,,,,,,
design,agency,11,3,1,1,1,2,4,4,122,,,,,,,,
design,managers,11,2,1,1,2,1,1,2,67,,,,,,,,
design,material,11,1,7,2,8,8,8,2,616,,,,,,,,
design,contributions,11,1,2,4,4,2,4,2,191,,,,,,,,
design,methodologies,11,1,1,2,1,0,3,1,74,,,,,,,,
design,brief,11,1,1,0,3,1,3,2,107,,,,,,,,
design,university,10,62,79,32,30,29,30,43,1352,,,,,,,,
design,also,10,34,20,13,16,18,12,16,1646,,,,,,,,
design,based,10,11,12,14,13,11,8,9,708,,,,,,,,
design,her,10,10,10,5,9,4,6,5,431,,,,,,,,
design,when,10,9,11,6,12,10,10,13,1102,,,,,,,,
design,creativity,10,7,10,3,6,9,8,3,234,,,,,,,,
design,objects,10,7,5,1,5,1,5,4,308,,,,,,,,
design,teaching,10,5,7,5,4,9,8,8,348,,,,,,,,
design,organization,10,4,2,5,2,3,3,3,175,,,,,,,,
design,literature,10,3,6,9,7,2,6,7,424,,,,,,,,
design,however,10,3,5,8,7,18,9,6,675,,,,,,,,
design,might,10,3,4,4,1,2,6,3,412,,,,,,,,
design,outputs,10,2,1,2,0,0,1,0,48,,,,,,,,
